ART_ID,ART_NAME,ART_NUMMER,WGR_ID,ART_TYP,VPK_NR,ART_LAGER,ART_NR,PGR_NR,ART_VERLUST,ART_NAEHRWERT,ART_ABC,ART_LTZBEST,ART_OEKP,ART_LTZEKP,ART_VKP,ART_MENGE,ART_PROV,ART_PFAND,ART_FIXPREIS,ART_NOTINV,ART_CODE,FBE_NR,OAR_NR,JAN_BEREICH,JANA_NUMMER,NEW_USER,NEW_ZEIT,CHG_USER,CHG_ZEIT,AKTIV,ART_GWFAKTOR,ART_INFO,ART_ABVERKAUF,ART_NAMEID,ART_SOLLPREIS,ART_PREIS_IVREL,ART_PREIS_IVABS,ART_MAXMENGE,ART_MAXEK,LF_NR,VPK_NR2,ART_MINDESTBEST,ART_SBLS,ART_SBLSFAKTOR,ART_BESTVORLAUF,ART_ALEVEL,ART_HALTBAR,ART_LABELS,ART_FKEY,ART_EAN,ART_HACCP,ART_KZGEW,ART_DESC,ART_DUTY,ART_SHPEXP,ART_PRICEDEV_MIN,ART_PRICEDEV_MAX,ART_QTYDEV_MIN,ART_QTYDEV_MAX,ART_EXCLUDECIL,ART_BTD,ART_SF,ART_PRODUCER,ART_COUNTRYORG,ART_ZUSATZ,ART_WITHDRAWL,ART_VOLFACTOR,ART_VOLUME,ART_STDSTOCK,ART_CREBYORDER,ART_MWSTNR,ART_OQC_METHOD,ART_OQC_SUBSOH,ART_OQC_ROUNDING,ART_PRSTDLAST,ART_PRSTDLASTFROM,ART_PRSTD,ART_PRSTDFROM,ART_PRSTDNEXT,ART_PRSTDNEXTFROM,ART_PREPTYPE,ART_WHOLEBATCH,ART_USEVOLUME,ART_LENGTH,ART_WIDTH,ART_HEIGHT,ART_PRODNR,DET_NR,APPLYVC,ISNOTCORPORATE,CGP_NR,ART_ISADJUSTABLE,ART_ISCOLD,ART_ISMENU,ART_QUALITY,ART_ISREQUEST,ART_SHORTNAME,PIC_NR,ART_COUNTASREC,ART_ISASSNEWDIET,REZ_NR,ART_POTISACT,ART_GUID,ART_PLANPRICE,ART_SORTORDER,ART_ALPHCUST1,ART_ALPHCUST2,ART_ALPHCUST3,ART_ALPHCUST4,ART_ALPHCUST5,ART_NUMCUST1,ART_NUMCUST2,ART_NUMCUST3,ART_NUMCUST4,ART_NUMCUST5,ART_INTCUST1,ART_INTCUST2,ART_INTCUST3,ART_INTCUST4,ART_INTCUST5,FIT_CFOP,FIT_UTILCODE,CON_NR,ART_CONTFILLBASIS,ART_CONTFILLQUANT,ART_ISWRITEIN,ART_NR_BASEMENU,ART_ISNOMEAL,ART_INFO2,ART_ARTFOLDER1,ART_ARTFOLDER2,ART_PTP_LEADDAYS,ART_TYPE,ART_PLANPRICETO,ART_PLPRNEXT,ART_PLPRNEXTFROM,ART_PLPRNEXTTO,ART_ACCEPTSHPADJ,ART_PORTIONABLE,ART_PREMIUM,ART_HACCPINFO,ART_AUTOYIELD,ART_NUTSTATUS,ART_NUTMETHOD,PAR_NR,ART_COOKEDYIELD,ART_DIEEXCHG,ART_DIEFLUID,ART_PRICEDEV2_MIN,ART_PRICEDEV2_MAX,ART_BOOKASWASTE,EFT_NR,ART_SEASONABLE,ART_SEASONS,ART_PRODSPEC,ART_ISDEPOSIT,PDE_NR_VOLUME,PDE_NR_WEIGHT,ART_VOLUMETOWEIGHT
1,Bocad Cabsha,10,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:17:25,21,2026-04-23 09:57:13, ,1,,,BOCAD CABSHA,,,,,,,3,,,,,0,,,10,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E1DDD647153F0E0637D5F4E641806,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Helado Arcor Frambuesas Choco c/leche,1014782,343,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:44:10,21,2026-04-23 09:57:13, ,1,,,HELADO ARCOR FRAMBUESAS CHOCO C/LECHE,,,,,,,3,,,,,0,,,1014782,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE4E367C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Helado Arcor Frambuesas Choco Amargo,1014887,343,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:44:10,21,2026-04-23 09:57:13, ,1,,,HELADO ARCOR FRAMBUESAS CHOCO AMARGO,,,,,,,3,,,,,0,,,1014887,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE4E467C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Huevo Kinder Nene/Dinos 20 Grs,40084107,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:47:15,21,2026-04-23 09:57:13, ,1,,,HUEVO KINDER NENE/DINOS 20 GRS,,,,,,,3,,,,,0,,,40084107,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE51867C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Choc. Snickers Almendras 48 grs,4010508,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:47:15,21,2026-04-23 09:57:13, ,1,,,CHOC. SNICKERS ALMENDRAS 48 GRS,,,,,,,3,,,,,0,,,4010508,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE51967C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Moneda Bonafide 1 Un,4255,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:47:15,21,2026-04-23 09:57:13, ,1,,,MONEDA BONAFIDE 1 UN,,,,,,,3,,,,,0,,,4255,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE51A67C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Choc. Snickers 48 grs,7506174512248,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:47:15,21,2026-04-23 09:57:13, ,1,,,CHOC. SNICKERS 48 GRS,,,,,,,3,,,,,0,,,7506174512248,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE51B67C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Bocad Mantecol 41 Gr,7622201816414,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:47:15,21,2026-04-23 09:57:13, ,1,,,BOCAD MANTECOL 41 GR,,,,,,,3,,,,,0,,,7622201816414,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE51F67C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Choc. Cadbury 3 Suenos 25 Gr,7622201818579,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:47:15,21,2026-04-23 09:57:13, ,1,,,CHOC. CADBURY 3 SUENOS 25 GR,,,,,,,3,,,,,0,,,7622201818579,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501E7D8BE52067C3E0637D5F4E64C369,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Conf MyM Mantequilla de Mani 40 Gr,40000001447,86,1,3,3,,,,,0,,,0.000,0,, ,0,0,0,,,,,,21,2026-04-23 09:57:13,21,2026-04-23 09:57:13, ,1,,,CONF MYM MANTEQUILLA DE MANI 40 GR,,,,,,,3,,,,,0,,,40000001447,,0,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,501EAC3860C8674CE0637D5F4E6420B8,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
