VPK_ID,VPK_NAME,VPK_BSTNAME,VPK_MENGE,VPK_EINH,VPK_GRMENGE,VPK_GRUND,VPK_INFO,VPK_KZGRUND,VPK_PFAND,VPK_CHILDPFAND,VPK_WERT,VPK_MWST,NEW_USER,NEW_ZEIT,CHG_USER,CHG_ZEIT,VPK_PROV,AKTIV,VPK_USEININV,VPK_NAMEID,ART_NR,VPK_CONTAINERGN,VPK_FKEY,VPK_USEFORRECYIELD
9,Portion,Portion,1,9,1,9,,G,0,0,0,0,1,2008-04-09 08:09:26,,, , ,0,PORTION,,,9,1
1,Pound,Pound,1,1,1,1, ,G,0,0,0,0,1,1996-07-30 19:02:49,,, , ,1,POUND,,,1,1
2,Pint,Pint,1,2,1,2, ,G,0,0,0,0,1,1996-07-30 19:02:49,,, , ,1,PINT,,,2,1
3,Each,Each,1,3,1,3, ,G,0,0,0,0,1,1996-07-30 19:02:49,,, , ,1,EACH,,,3,1
51,Bulto x1,Bulto x1,1,3,1,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,BULTO X1,,,501,
52,x1 Un,x1 Un,1,3,1,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X1 UN,,,502,
53,x2 Un,x2 Un,2,3,2,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X2 UN,,,503,
54,x4 Un,x4 Un,4,3,4,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X4 UN,,,504,
55,x4.8 Un,x4.8 Un,4.8,3,4.8,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X4.8 UN,,,505,
56,x5 Un,x5 Un,5,3,5,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X5 UN,,,506,
57,x6 Un,x6 Un,6,3,6,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X6 UN,,,507,
58,x7 Un,x7 Un,7,3,7,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X7 UN,,,508,
59,x8 Un,x8 Un,8,3,8,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X8 UN,,,509,
60,x9 Un,x9 Un,9,3,9,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X9 UN,,,510,
61,x10 Un,x10 Un,10,3,10,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X10 UN,,,511,
62,x10.08 Un,x10.08 Un,10.08,3,10.08,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X10.08 UN,,,512,
63,x11 Un,x11 Un,11,3,11,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X11 UN,,,513,
64,x12 Un,x12 Un,12,3,12,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X12 UN,,,514,
65,x14 Un,x14 Un,14,3,14,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X14 UN,,,515,
66,x15 Un,x15 Un,15,3,15,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X15 UN,,,516,
67,x16 Un,x16 Un,16,3,16,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X16 UN,,,517,
68,x18 Un,x18 Un,18,3,18,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X18 UN,,,518,
69,x19 Un,x19 Un,19,3,19,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X19 UN,,,519,
70,x20 Un,x20 Un,20,3,20,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X20 UN,,,520,
71,x21 Un,x21 Un,21,3,21,3,,V,0,0,0,0,21,2026-04-23 10:02:34,21,2026-04-23 10:02:34, , ,1,X21 UN,,,521,
